ipaddr,machineclass,machinefunction,businessunit,facility,latitude,longitude
172.30.83.2,server,file server,region-10,branch14,45.115364,-108.13676
172.53.19.2,server,file server,region-45,branch40,20.084064,-112.4993
172.53.13.2,server,file server,region-45,branch38,19.439356,-111.41151
172.30.86.2,server,web,region-10,branch15,63.32678,-92.26495
172.52.249.2,server,multiple,region-45,branch32,18.457695,-112.39347
172.52.243.2,server,web,region-45,branch30,20.836779,-111.04165
172.52.213.2,server,file server,region-45,branch20,19.836012,-110.50543
172.31.249.27,server,web,region-10,branch154,44.575813,-102.66586
172.52.183.2,server,web,region-45,branch10,19.691618,-111.4466
172.32.18.2,atm,,region-10,branch161,42.115242,-94.266495
172.52.37.8,workstation,office,region-44,branch11,7.556475,-117.6159
172.52.39.35,server,file server,region-44,branch12,7.7905316,-115.246544
172.52.42.21,server,multiple,region-44,branch13,5.991272,-113.681755
172.52.52.27,workstation,office,region-44,branch16,7.106434,-111.13097
172.52.55.14,workstation,office,region-44,branch17,8.844661,-116.01676
172.52.57.39,server,web,region-44,branch18,6.8153696,-115.077934
172.52.60.27,server,web,region-44,branch19,7.226829,-111.14379
172.52.69.4,server,email,region-44,branch22,6.446364,-111.1129
172.52.73.10,workstation,office,region-44,branch23,7.0367894,-116.478966
172.52.75.36,server,file server,region-44,branch24,8.192748,-111.51628
172.52.78.23,server,multiple,region-44,branch25,5.8935804,-116.137024
172.52.83.5,atm,,region-44,branch26,5.356543,-114.152626
172.52.85.42,workstation,teller,region-44,branch27,5.508444,-115.44973
172.52.88.29,workstation,loan,region-44,branch28,8.186687,-113.74955
172.52.91.18,workstation,office,region-44,branch29,6.867081,-111.23292
172.52.96.20,server,multiple,region-44,branch31,8.1321945,-115.14689
172.52.99.6,server,multiple,region-44,branch32,8.485405,-111.28085
172.52.103.37,workstation,office,region-44,branch33,5.1079946,-115.39925
172.52.106.23,workstation,loan,region-44,branch34,8.806135,-112.69651
172.52.109.5,workstation,office,region-44,branch35,6.2123766,-116.5591
172.52.111.28,server,multiple,region-44,branch36,5.74721,-115.3891
172.52.118.45,workstation,loan,region-44,branch38,6.1222787,-115.847755
172.52.121.32,workstation,teller,region-44,branch39,5.9374027,-111.51218
172.52.18.2,server,multiple,region-44,branch5,8.740809,-116.516304
172.52.126.31,server,file server,region-44,branch41,7.7873893,-117.24914
172.52.133.47,workstation,teller,region-44,branch43,7.908614,-113.915886
172.52.139.17,workstation,office,region-44,branch45,6.594441,-116.312355
172.52.142.3,workstation,loan,region-44,branch46,5.121489,-116.60981
172.52.144.30,server,multiple,region-44,branch47,6.941127,-113.40018
172.52.149.7,atm,,region-44,branch48,6.7540894,-111.5769
172.52.151.43,workstation,office,region-44,branch49,8.687602,-116.31078
172.52.21.2,server,web,region-44,branch6,7.025405,-116.00448
172.52.27.34,server,web,region-44,branch8,6.110545,-112.529
172.52.30.20,server,email,region-44,branch9,6.7666545,-115.071754
172.52.35.2,atm,,region-44,branch10,6.627023,-113.304276
172.8.209.2,server,compute,region-44,headquarters,6.3551884,-115.94608
172.52.153.2,server,multiple,region-44,branch50,8.657263,-113.655525
172.32.120.2,atm,,region-10,branch195,47.22595,-91.410675
172.52.123.2,server,file server,region-44,branch40,8.185383,-112.87718
172.52.114.3,server,email,region-44,branch37,6.855864,-116.11263
172.30.51.35,workstation,office,region-10,branch3,55.029636,-99.67342
172.52.93.2,server,file server,region-44,branch30,6.372526,-114.84112
172.30.53.2,server,file server,region-10,branch4,43.768017,-104.60444
172.30.145.2,atm,,region-10,branch34,41.79865,-103.80622
172.52.63.2,server,file server,region-44,branch20,6.4386177,-116.46011
172.30.56.2,server,email,region-10,branch5,42.73995,-94.93641
172.51.141.14,workstation,loan,region-43,branch11,14.1626,-118.16022
172.51.143.38,server,web,region-43,branch12,14.279642,-113.72709
172.51.146.24,server,web,region-43,branch13,16.541533,-117.8813
172.51.156.25,workstation,office,region-43,branch16,15.269757,-117.00373
172.51.159.10,workstation,office,region-43,branch17,16.107235,-118.20651
172.51.161.35,server,web,region-43,branch18,16.47602,-118.68273
172.51.164.18,server,multiple,region-43,branch19,14.045039,-116.18369
172.51.171.24,workstation,teller,region-43,branch21,15.948543,-114.63894
172.51.174.12,workstation,loan,region-43,branch22,16.742783,-113.559975
172.51.176.36,server,email,region-43,branch23,16.445269,-114.44711
172.51.179.21,server,web,region-43,branch24,14.449325,-115.315384
172.51.185.2,server,multiple,region-43,branch26,15.376799,-118.25345
172.51.183.48,workstation,office,region-43,branch25,14.887213,-116.79799
172.51.193.8,atm,,region-43,branch28,16.043657,-113.08062
172.51.195.41,workstation,teller,region-43,branch29,14.089279,-118.09467
172.51.199.2,atm,,region-43,branch30,14.192719,-115.47634
172.51.119.2,server,multiple,region-43,branch4,14.098005,-114.33908
172.51.203.3,server,multiple,region-43,branch32,15.890321,-116.26485
172.51.200.39,server,compute,region-43,branch31,15.808893,-114.183174
172.51.209.2,server,multiple,region-43,branch34,16.049023,-114.51791
172.51.207.52,workstation,teller,region-43,branch33,16.201025,-114.80181
172.51.216.4,workstation,teller,region-43,branch36,15.316428,-117.49739
172.51.218.29,server,multiple,region-43,branch37,16.92564,-116.04617
172.51.223.11,atm,,region-43,branch38,15.330108,-116.28573
172.51.229.2,atm,,region-43,branch40,14.404096,-114.454544
172.51.122.2,server,multiple,region-43,branch5,15.210427,-118.00335
172.51.235.6,atm,,region-43,branch42,16.585684,-113.18597
172.51.237.40,workstation,office,region-43,branch43,16.627762,-114.83852
172.51.240.27,workstation,office,region-43,branch44,16.249535,-115.88831
172.51.243.10,workstation,office,region-43,branch45,16.728432,-114.393
172.51.245.34,server,email,region-43,branch46,14.018602,-114.53698
172.51.248.20,server,multiple,region-43,branch47,15.343648,-115.79487
172.30.63.42,workstation,teller,region-10,branch7,54.069572,-107.22107
172.51.125.2,server,file server,region-43,branch6,16.561338,-113.50332
172.51.128.34,server,multiple,region-43,branch7,14.922852,-118.535355
172.51.131.18,server,multiple,region-43,branch8,15.912675,-115.70587
172.30.244.2,atm,,region-10,branch67,53.939293,-98.17904
172.52.3.2,server,web,region-43,branch50,15.081213,-114.71152
172.30.65.2,server,web,region-10,branch8,66.436516,-107.64613
172.31.38.8,atm,,region-10,branch83,43.16204,-103.63149
172.31.47.2,atm,,region-10,branch86,45.915337,-99.70713
172.30.72.46,workstation,office,region-10,branch10,51.85845,-100.782486
172.31.86.2,atm,,region-10,branch99,68.42819,-92.836365
172.51.167.3,server,multiple,region-43,branch20,15.556204,-115.4812
172.8.37.34,server,email,region-10,headquarters,49.336033,-101.34201
172.40.204.19,server,compute,region-25,branch1,32.528088,-49.76249
172.40.208.49,workstation,office,region-25,branch2,30.6381,-47.840054
172.40.235.34,workstation,office,region-25,branch11,32.217613,-51.561882
172.40.248.6,atm,,region-25,branch15,33.350616,-48.869076
172.40.210.2,server,multiple,region-25,branch3,30.856943,-48.72965
172.51.137.2,server,multiple,region-43,branch10,15.659459,-118.9546
172.50.248.37,workstation,loan,region-42,branch12,8.394663,-97.78637
172.50.251.22,workstation,loan,region-42,branch13,10.054565,-98.82073
172.50.254.9,workstation,loan,region-42,branch14,10.74199,-102.36494
172.51.5.19,server,compute,region-42,branch16,7.21395,-100.16211
172.51.9.52,workstation,teller,region-42,branch17,12.322415,-105.3075
172.40.213.2,server,multiple,region-25,branch4,31.140142,-51.600204
172.51.12.37,workstation,office,region-42,branch18,9.745939,-105.852745
172.51.25.8,atm,,region-42,branch22,7.0653377,-98.53138
172.51.27.44,workstation,teller,region-42,branch23,10.054408,-97.64079
172.51.33.23,workstation,teller,region-42,branch25,11.669559,-99.60806
172.51.36.13,workstation,office,region-42,branch26,7.089221,-101.17662
172.51.38.39,server,web,region-42,branch27,11.190495,-105.00483
172.51.41.25,server,multiple,region-42,branch28,9.772763,-102.79658
172.51.44.10,server,multiple,region-42,branch29,13.735956,-97.91614
172.51.47.7,server,web,region-42,branch30,10.597217,-101.26553
172.50.223.2,server,file server,region-42,branch4,7.8033404,-105.97282
172.51.51.3,workstation,office,region-42,branch31,8.105521,-102.3274
172.51.56.14,server,file server,region-42,branch33,11.22995,-96.52908
172.51.60.47,workstation,teller,region-42,branch34,6.3118305,-105.37488
172.51.65.2,server,multiple,region-42,branch36,11.743825,-103.20297
172.51.63.34,workstation,loan,region-42,branch35,13.9194355,-96.27035
172.51.69.7,workstation,loan,region-42,branch37,5.4215426,-105.58336
172.51.71.34,server,multiple,region-42,branch38,7.2876754,-100.56082
172.51.74.20,server,file server,region-42,branch39,7.5050764,-103.213745
172.51.81.28,workstation,teller,region-42,branch41,6.3135767,-102.543976
172.51.89.23,server,email,region-42,branch44,11.670294,-96.88792
172.51.93.50,workstation,teller,region-42,branch45,7.742298,-99.03667
172.51.96.34,workstation,office,region-42,branch46,8.030842,-99.36936
172.51.99.22,workstation,office,region-42,branch47,9.708468,-103.58526
172.51.102.8,workstation,teller,region-42,branch48,13.048428,-97.014694
172.51.104.32,server,multiple,region-42,branch49,11.257463,-100.499214
172.50.239.6,workstation,loan,region-42,branch9,11.605611,-100.84545
172.40.216.2,server,multiple,region-25,branch5,34.497204,-51.58638
172.41.81.2,atm,,region-25,branch44,31.340096,-47.52749
172.51.107.2,server,multiple,region-42,branch50,12.895827,-105.0012
172.40.220.25,workstation,office,region-25,branch6,33.4573,-51.158157
172.11.67.2,server,web,region-1,branch200,37.662575,-130.91286
172.13.160.17,workstation,loan,region-2,branch200,17.251436,-148.38272
172.15.252.2,workstation,office,region-3,branch200,-10.225506,-113.957535
172.18.89.26,server,multiple,region-4,branch200,24.529123,-62.82043
172.20.183.6,atm,,region-5,branch200,18.647354,-83.306595
172.23.20.42,workstation,office,region-6,branch200,17.802103,-99.32164
172.27.203.2,server,multiple,region-8,branch200,-7.9499955,-117.10524
172.25.112.25,workstation,office,region-7,branch200,2.3745575,-72.69868
172.30.41.35,server,web,region-9,branch200,38.561913,-107.882355
172.11.64.2,server,file server,region-1,branch199,37.225853,-133.94801
172.13.156.3,server,multiple,region-2,branch199,26.974329,-145.56523
172.18.86.7,server,web,region-4,branch199,25.881872,-68.28776
172.15.248.30,server,web,region-3,branch199,-13.179368,-111.246254
172.23.16.2,server,multiple,region-6,branch199,22.81717,-96.080315
172.27.200.22,server,multiple,region-8,branch199,-9.633163,-118.48144
172.11.61.2,server,multiple,region-1,branch198,41.468334,-138.92632
172.13.153.2,server,multiple,region-2,branch198,19.96198,-149.2355
172.15.245.3,server,email,region-3,branch198,-10.609686,-107.40491
172.18.83.2,server,multiple,region-4,branch198,27.156733,-69.06094
172.20.175.16,server,multiple,region-5,branch198,27.821634,-82.770256
172.23.13.10,server,multiple,region-6,branch198,19.974142,-101.13513
172.25.105.36,server,web,region-7,branch198,-0.26231542,-70.04862
172.30.35.2,server,multiple,region-9,branch198,24.806765,-117.472916
172.27.197.33,server,web,region-8,branch198,0.91639024,-127.8981
172.13.151.44,workstation,loan,region-2,branch197,27.683079,-144.4468
172.15.243.35,workstation,teller,region-3,branch197,-12.33232,-106.62048
172.18.81.26,workstation,office,region-4,branch197,25.91837,-60.940067
172.20.173.36,workstation,loan,region-5,branch197,28.985722,-82.48008
172.23.11.22,workstation,teller,region-6,branch197,17.51852,-101.66149
172.25.103.46,workstation,office,region-7,branch197,1.1088301,-76.763756
172.27.195.31,workstation,office,region-8,branch197,-2.3616562,-119.15751
172.30.33.29,workstation,office,region-9,branch197,38.636696,-105.00402
172.18.77.2,server,web,region-4,branch196,29.551394,-67.35582
172.15.241.8,atm,,region-3,branch196,-12.2585745,-102.05663
172.25.99.2,server,compute,region-7,branch196,0.7992196,-68.02517
172.23.8.33,workstation,office,region-6,branch196,15.366654,-100.78433
172.27.192.49,workstation,office,region-8,branch196,-12.296598,-121.19794
172.30.30.41,workstation,teller,region-9,branch196,26.398056,-111.14353
172.11.52.2,server,multiple,region-1,branch195,43.455795,-130.47539
172.13.144.34,server,email,region-2,branch195,17.271029,-154.58263
172.15.237.25,workstation,loan,region-3,branch195,1.4655722,-104.72368
172.18.75.21,workstation,office,region-4,branch195,25.427002,-65.430176
172.20.167.6,workstation,office,region-5,branch195,22.302952,-80.638245
172.25.96.35,server,multiple,region-7,branch195,4.698091,-70.27909
172.30.27.35,workstation,loan,region-9,branch195,33.81375,-107.188965
172.11.49.2,server,multiple,region-1,branch194,37.310974,-131.49173
172.13.141.2,server,web,region-2,branch194,21.88205,-144.72856
172.15.233.16,server,email,region-3,branch194,-11.777816,-113.60404
172.20.164.32,workstation,office,region-5,branch194,20.096748,-80.2557
172.25.93.7,server,web,region-7,branch194,2.0954978,-73.58657
172.23.2.20,workstation,office,region-6,branch194,21.675377,-96.29837
172.27.185.2,server,compute,region-8,branch194,-7.4973288,-126.80706
172.30.23.6,server,web,region-9,branch194,37.174973,-117.81404
172.11.46.2,server,web,region-1,branch193,35.19553,-137.93709
172.18.68.2,server,multiple,region-4,branch193,27.47225,-56.67713
172.15.231.15,workstation,office,region-3,branch193,-1.738256,-109.871216
172.22.252.2,server,multiple,region-6,branch193,17.774092,-91.24451
172.20.160.14,server,web,region-5,branch193,19.404396,-82.88571
172.25.90.23,server,file server,region-7,branch193,1.9805396,-76.057976
172.27.182.32,server,web,region-8,branch193,-14.157556,-117.05441
172.30.21.13,workstation,office,region-9,branch193,29.260757,-108.17142
172.11.43.2,server,multiple,region-1,branch192,39.744118,-134.82832
172.13.135.3,server,multiple,region-2,branch192,26.59851,-142.1705
172.15.227.3,server,web,region-3,branch192,0.36917272,-103.73195
172.18.65.4,server,web,region-4,branch192,34.318974,-56.590042
172.20.157.21,server,web,region-5,branch192,18.504803,-78.58086
172.22.250.31,workstation,loan,region-6,branch192,19.138649,-93.18874
172.25.88.15,workstation,office,region-7,branch192,2.1546242,-70.329445
172.27.180.12,workstation,loan,region-8,branch192,-10.881108,-123.308914
172.30.18.21,workstation,loan,region-9,branch192,35.636364,-113.78098
172.32.111.2,atm,,region-10,branch192,68.89518,-102.30843
172.11.40.2,server,web,region-1,branch191,36.634125,-136.4506
172.15.225.17,workstation,loan,region-3,branch191,-1.8144428,-109.272835
172.18.63.4,workstation,teller,region-4,branch191,25.020601,-60.046654
172.20.155.6,workstation,office,region-5,branch191,25.575243,-76.44313
172.25.84.2,server,multiple,region-7,branch191,2.7898357,-68.84692
172.22.248.5,atm,,region-6,branch191,22.507452,-91.2813
172.27.177.32,workstation,office,region-8,branch191,-3.588647,-116.18412
172.30.15.28,workstation,office,region-9,branch191,24.418215,-106.77982
172.11.37.2,server,web,region-1,branch190,35.370796,-138.43436
172.15.221.2,server,multiple,region-3,branch190,-3.7196045,-104.58073
172.13.130.30,workstation,teller,region-2,branch190,19.843685,-153.3644
172.18.60.4,workstation,loan,region-4,branch190,33.99059,-69.1727
172.20.151.29,server,email,region-5,branch190,22.833689,-76.74771
172.25.81.2,server,multiple,region-7,branch190,1.745795,-76.70347
172.22.245.10,atm,,region-6,branch190,15.560109,-95.730354
172.27.174.33,workstation,loan,region-8,branch190,-10.765263,-127.5163
172.30.12.21,workstation,office,region-9,branch190,34.769882,-106.19174
172.11.34.2,server,web,region-1,branch189,38.826595,-141.84369
172.15.218.2,server,file server,region-3,branch189,-9.819002,-112.17774
172.13.127.7,workstation,teller,region-2,branch189,17.44421,-147.15932
172.20.148.2,server,multiple,region-5,branch189,19.661207,-84.18971
172.18.56.6,server,web,region-4,branch189,25.075802,-60.572952
172.22.240.19,server,web,region-6,branch189,18.026754,-97.33079
172.27.170.29,server,email,region-8,branch189,-4.679452,-116.722176
172.30.9.7,workstation,office,region-9,branch189,29.86365,-107.74483
172.11.31.2,server,compute,region-1,branch188,41.134922,-133.22485
172.13.123.2,server,web,region-2,branch188,22.423613,-145.24355
172.18.53.2,server,web,region-4,branch188,30.2593,-68.899445
172.20.146.8,workstation,teller,region-5,branch188,19.91028,-77.0339
172.27.167.3,server,web,region-8,branch188,-6.610191,-124.36186
172.30.6.9,workstation,office,region-9,branch188,34.315296,-118.23981
172.11.28.2,server,multiple,region-1,branch187,43.814896,-136.54097
172.15.212.31,server,email,region-3,branch187,-13.850914,-109.83553
172.18.50.32,server,web,region-4,branch187,24.698193,-65.91762
172.20.143.11,workstation,office,region-5,branch187,15.094502,-77.49097
172.25.72.2,server,multiple,region-7,branch187,-0.32160717,-70.20712
172.22.235.29,workstation,teller,region-6,branch187,21.55045,-97.2538
172.30.2.2,server,web,region-9,branch187,38.226044,-108.33268
172.27.165.34,workstation,office,region-8,branch187,-6.2905807,-119.06178
172.11.25.2,server,multiple,region-1,branch186,38.378544,-130.66107
172.13.117.26,server,compute,region-2,branch186,27.823187,-144.60526
172.18.47.2,server,multiple,region-4,branch186,33.70999,-64.498505
172.15.211.9,atm,,region-3,branch186,-10.902398,-111.98647
172.22.233.6,atm,,region-6,branch186,14.884714,-102.13352
172.25.70.44,workstation,teller,region-7,branch186,2.7850099,-72.33054
172.29.253.2,server,web,region-9,branch186,25.839529,-108.09423
172.27.162.32,workstation,office,region-8,branch186,-12.575477,-125.12148
172.11.22.2,server,web,region-1,branch185,39.77063,-134.79692
172.15.208.8,atm,,region-3,branch185,1.0328825,-111.21666
172.18.45.43,workstation,office,region-4,branch185,28.019337,-63.51031
172.20.137.33,workstation,office,region-5,branch185,27.51703,-74.25426
172.25.66.2,server,web,region-7,branch185,1.8244562,-71.390076
172.22.229.34,workstation,office,region-6,branch185,14.504401,-91.42812
172.27.159.19,workstation,teller,region-8,branch185,-5.8949227,-127.97835
172.29.251.10,workstation,office,region-9,branch185,34.87371,-113.06775
172.13.112.30,workstation,loan,region-2,branch184,24.623823,-150.99915
172.15.204.41,workstation,teller,region-3,branch184,-6.300355,-103.2448
172.18.42.39,workstation,office,region-4,branch184,28.018301,-61.531414
172.20.134.31,workstation,office,region-5,branch184,22.96083,-77.99152
172.22.226.38,workstation,loan,region-6,branch184,14.816642,-98.440735
172.25.65.4,atm,,region-7,branch184,4.494692,-67.0825
172.27.156.52,workstation,office,region-8,branch184,-6.9713106,-124.208466
172.29.249.8,atm,,region-9,branch184,27.912685,-105.453384
172.13.108.2,server,multiple,region-2,branch183,21.889961,-148.28725
172.11.16.2,server,multiple,region-1,branch183,38.362217,-141.00847
172.15.201.10,workstation,office,region-3,branch183,-6.9546027,-106.782
172.20.130.2,server,file server,region-5,branch183,21.929516,-80.73987
172.18.40.11,atm,,region-4,branch183,28.362999,-66.16872
172.22.222.12,server,email,region-6,branch183,14.59813,-99.48119
172.25.60.35,server,multiple,region-7,branch183,4.8293786,-66.435875
172.29.244.2,server,multiple,region-9,branch183,37.864555,-106.16179
172.27.153.51,workstation,office,region-8,branch183,-11.749625,-125.3105
172.13.105.2,server,file server,region-2,branch182,20.089348,-150.20139
172.15.197.26,server,multiple,region-3,branch182,-5.611252,-103.28659
172.20.127.2,server,web,region-5,branch182,21.31568,-77.24376
172.18.36.6,workstation,office,region-4,branch182,31.235167,-56.407078
172.25.57.28,server,web,region-7,branch182,2.4951413,-68.61018
172.27.149.41,server,multiple,region-8,branch182,-7.877628,-120.999664
172.29.242.21,workstation,teller,region-9,branch182,37.209602,-107.927574
172.32.81.2,atm,,region-10,branch182,40.751137,-92.90163
172.11.10.2,server,file server,region-1,branch181,47.21082,-142.57079
172.13.103.30,workstation,office,region-2,branch181,25.686155,-152.32234
172.18.32.3,server,multiple,region-4,branch181,31.293783,-62.316223
172.15.195.29,workstation,office,region-3,branch181,-5.464227,-105.37419
172.20.124.7,server,file server,region-5,branch181,23.306208,-81.949066
172.22.216.18,server,file server,region-6,branch181,15.7449255,-90.74694
172.25.54.21,server,multiple,region-7,branch181,4.1508493,-77.5548
172.27.146.22,server,web,region-8,branch181,-5.1210856,-123.41648
172.11.7.2,server,multiple,region-1,branch180,43.64655,-139.3373
172.13.99.25,server,email,region-2,branch180,22.639101,-152.08409
172.15.193.6,atm,,region-3,branch180,-4.328773,-110.15712
172.18.30.43,workstation,loan,region-4,branch180,26.951178,-69.937035
172.20.122.31,workstation,loan,region-5,branch180,18.381245,-82.4204
172.22.214.19,workstation,office,region-6,branch180,17.93597,-97.32466
172.25.52.8,workstation,teller,region-7,branch180,1.912373,-76.20674
172.27.143.34,server,file server,region-8,branch180,-0.84082174,-123.251724
172.29.235.22,server,compute,region-9,branch180,23.865055,-106.20693
172.13.96.2,server,file server,region-2,branch179,17.473951,-153.81564
172.11.4.2,server,multiple,region-1,branch179,40.679264,-134.4604
172.15.188.19,server,multiple,region-3,branch179,-12.110115,-115.52414
172.18.26.30,server,multiple,region-4,branch179,33.676064,-66.706085
172.20.119.22,workstation,loan,region-5,branch179,21.26844,-78.54865
172.22.211.26,workstation,loan,region-6,branch179,19.127226,-91.40409
172.25.49.39,workstation,loan,region-7,branch179,1.998552,-68.32857
172.27.141.48,workstation,office,region-8,branch179,-11.174977,-125.46631
172.29.234.8,atm,,region-9,branch179,35.404793,-114.1616
172.11.1.2,server,file server,region-1,branch178,36.91046,-141.17203
172.20.115.3,server,multiple,region-5,branch178,15.366097,-74.13465
172.18.23.22,server,multiple,region-4,branch178,29.65456,-55.161507
172.15.186.15,workstation,loan,region-3,branch178,0.9966128,-103.230804
172.25.45.2,server,file server,region-7,branch178,3.0666811,-77.48538
172.22.208.47,workstation,office,region-6,branch178,21.434994,-99.58594
172.27.137.14,server,web,region-8,branch178,0.6974047,-124.638756
172.10.252.3,server,multiple,region-1,branch177,37.860737,-133.88745
172.13.90.2,server,multiple,region-2,branch177,23.800468,-152.07751
172.15.182.5,server,file server,region-3,branch177,1.2493308,-110.12427
172.18.20.11,server,web,region-4,branch177,30.906073,-60.319527
172.20.112.19,server,file server,region-5,branch177,22.735247,-77.27263
172.22.205.7,workstation,office,region-6,branch177,18.774565,-99.66164
172.27.134.2,server,multiple,region-8,branch177,-5.6361384,-125.04035
172.25.43.29,workstation,office,region-7,branch177,4.838335,-67.195946
172.29.226.14,server,multiple,region-9,branch177,31.967964,-109.18558
172.10.249.2,server,compute,region-1,branch176,41.02405,-137.5343
172.13.87.23,server,multiple,region-2,branch176,24.83644,-147.04105
172.15.179.28,server,email,region-3,branch176,-13.7628765,-114.81253
172.18.17.19,server,multiple,region-4,branch176,31.92335,-65.29377
172.20.109.15,server,email,region-5,branch176,15.575647,-83.15321
172.22.201.25,server,file server,region-6,branch176,22.204567,-98.69586
172.25.39.32,server,multiple,region-7,branch176,4.0097833,-69.19514
172.27.131.31,server,web,region-8,branch176,-14.002565,-126.79016
172.29.223.32,server,email,region-9,branch176,34.857903,-113.63986
172.13.84.22,server,multiple,region-2,branch175,18.608505,-145.80167
172.15.176.14,server,multiple,region-3,branch175,-7.6579213,-104.51582
172.18.16.7,atm,,region-4,branch175,33.78574,-63.83273
172.22.198.6,server,web,region-6,branch175,20.7048,-100.20296
172.20.107.43,workstation,office,region-5,branch175,24.513609,-76.56698
172.25.37.30,workstation,teller,region-7,branch175,2.5698948,-76.069305
172.27.129.18,workstation,office,region-8,branch175,-9.880293,-123.78996
172.29.221.3,workstation,teller,region-9,branch175,33.548267,-108.73907
172.10.243.2,server,email,region-1,branch174,39.30187,-141.06375
172.13.82.10,workstation,loan,region-2,branch174,29.456442,-143.08524
172.15.173.35,server,multiple,region-3,branch174,-0.928035,-105.08365
172.18.12.24,workstation,teller,region-4,branch174,28.41218,-59.217415
172.20.104.17,workstation,loan,region-5,branch174,26.764969,-81.418945
172.22.196.10,workstation,teller,region-6,branch174,14.79015,-94.23962
172.25.34.9,workstation,loan,region-7,branch174,3.5639586,-66.91006
172.27.126.10,workstation,teller,region-8,branch174,-1.3005471,-127.93006
172.29.217.36,server,multiple,region-9,branch174,35.221943,-105.823235
172.18.8.2,server,multiple,region-4,branch173,28.588518,-62.74397
172.15.172.3,atm,,region-3,branch173,-0.8256797,-114.570786
172.20.100.9,server,multiple,region-5,branch173,18.525517,-75.91259
172.22.192.14,server,email,region-6,branch173,18.910183,-100.38292
172.25.30.24,server,file server,region-7,branch173,1.8456323,-74.038536
172.27.122.31,server,multiple,region-8,branch173,-14.524526,-120.07614
172.29.215.2,workstation,loan,region-9,branch173,36.752712,-107.31479
172.10.237.2,server,multiple,region-1,branch172,46.154755,-139.33662
172.15.167.2,server,file server,region-3,branch172,-2.4983494,-109.15385
172.18.5.14,server,multiple,region-4,branch172,26.073402,-69.02674
172.20.97.41,server,file server,region-5,branch172,26.93461,-75.97575
172.25.27.2,server,multiple,region-7,branch172,-0.2198283,-74.323135
172.22.191.9,atm,,region-6,branch172,18.213543,-90.391846
172.27.119.16,server,compute,region-8,branch172,-9.94126,-117.81739
172.29.212.4,workstation,office,region-9,branch172,28.590374,-113.44164
172.10.234.2,server,multiple,region-1,branch171,42.671577,-142.14558
172.13.72.2,server,file server,region-2,branch171,18.556173,-142.66545
172.15.164.6,server,email,region-3,branch171,-6.408681,-105.31954
172.18.2.10,server,file server,region-4,branch171,28.316261,-63.917316
172.22.186.3,server,multiple,region-6,branch171,21.708925,-99.393456
172.20.94.20,server,multiple,region-5,branch171,15.407981,-74.773674
172.27.116.2,server,multiple,region-8,branch171,-9.403224,-123.53727
172.25.25.20,workstation,office,region-7,branch171,1.1022947,-76.02018
172.29.208.17,server,web,region-9,branch171,29.416315,-116.90632
172.32.48.2,atm,,region-10,branch171,49.63241,-101.05289
172.10.231.2,server,multiple,region-1,branch170,36.73627,-143.27003
172.13.70.43,workstation,office,region-2,branch170,26.359253,-142.3725
172.17.254.40,workstation,office,region-4,branch170,24.488132,-56.62484
172.20.92.29,workstation,teller,region-5,branch170,21.965334,-79.37852
172.22.184.15,workstation,teller,region-6,branch170,20.679226,-96.69504
172.25.22.2,workstation,loan,region-7,branch170,-0.70896614,-66.85594
172.27.113.25,server,email,region-8,branch170,-13.6319475,-118.15846
172.29.207.4,atm,,region-9,branch170,30.859566,-107.16368
172.10.228.2,server,compute,region-1,branch169,37.806774,-140.13686
172.13.67.39,workstation,teller,region-2,branch169,22.886793,-147.92058
172.15.160.4,atm,,region-3,branch169,-2.9992988,-112.083725
172.17.252.7,atm,,region-4,branch169,30.513922,-67.93287
172.20.89.48,workstation,office,region-5,branch169,24.836088,-80.475975
172.22.181.44,workstation,office,region-6,branch169,20.009333,-93.77096
172.25.19.33,workstation,office,region-7,branch169,4.591765,-71.01721
172.27.111.26,workstation,office,region-8,branch169,-4.198356,-120.447014
172.29.203.38,workstation,loan,region-9,branch169,24.569395,-107.592224
172.10.225.2,server,file server,region-1,branch168,38.686882,-140.68303
172.15.155.2,server,email,region-3,branch168,-6.8932714,-108.30616
172.17.247.18,server,multiple,region-4,branch168,33.380653,-59.38718
172.20.85.32,server,web,region-5,branch168,22.324976,-78.32425
172.22.177.33,server,web,region-6,branch168,20.737394,-101.047035
172.25.16.24,workstation,office,region-7,branch168,3.0593777,-76.680466
172.27.108.33,workstation,loan,region-8,branch168,-5.0069504,-117.011375
172.29.201.6,atm,,region-9,branch168,33.434746,-112.79581
172.13.60.11,server,web,region-2,branch167,26.513002,-146.65845
172.15.152.29,server,file server,region-3,branch167,0.28152558,-108.919395
172.17.244.32,server,file server,region-4,branch167,26.863909,-64.236305
172.22.174.3,server,multiple,region-6,branch167,15.012652,-100.214745
172.20.83.46,workstation,loan,region-5,branch167,23.072844,-82.51886
172.25.12.7,server,web,region-7,branch167,2.4001658,-69.36869
172.27.104.22,server,web,region-8,branch167,-11.660088,-116.508965
172.29.197.3,workstation,loan,region-9,branch167,35.05542,-105.71316
172.10.219.2,server,multiple,region-1,branch166,39.467007,-138.04744
172.13.58.18,workstation,teller,region-2,branch166,18.848791,-149.00392
172.15.150.40,workstation,teller,region-3,branch166,-6.4805655,-106.78695
172.20.79.3,server,multiple,region-5,branch166,23.226746,-75.73775
172.17.242.29,workstation,teller,region-4,branch166,33.269066,-68.360405
